seed_a,seed_b,procrustes_disparity,reflection,dist_matrix_rho
25,101,0.10432219378386774,True,0.9353475859678357
25,202,0.09067122175836775,True,0.9428915740654205
25,303,0.11367537413001846,False,0.9404299785850546
25,404,0.09007251016016517,True,0.9375672642958268
101,202,0.15153769211668744,False,0.9106259408341596
101,303,0.0906713230095311,True,0.9453514197098556
101,404,0.10167224412409825,False,0.9397538615770505
202,303,0.13872496119233219,True,0.9094804805755462
202,404,0.07483633831123335,False,0.941227389351773
303,404,0.05814329057468821,True,0.9643352752166637
